"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"Cash deal + friends and family ","manual","percentage",,-234362.8,931,1012110.41,-6497.05,802979.56,0,113028.44,916008
"Friends and family ","manual","percentage",,-75631.4,528,683111.99,-5510.75,608827.91,0,66067.39,674895.3
"15% Wheel of fortune","manual","percentage",,-81464.4,372,475863.77,-6547.59,397443.08,0,55004.82,452447.9
"Black Friday 2025 (25%)","automatic","percentage","product",-59620.75,321,210047.97,0,156846.33,0,21191.3,178037.63
"Family discount","manual","percentage",,-71507.4,336,213835.97,-3013.04,146551.94,0,16833.66,163385.6
"30% Customer Discount ","manual","percentage",,-46403.7,132,138911.81,-3319.83,93919.52,0,10537.98,104457.5
"Family and friends ","manual","percentage",,-13862.7,76,81650.43,0,69403.47,0,9151.83,78555.3
"OWNERS DISCOUNT - PIERRE/ANDRE/DAVID ONLY","manual","percentage",,-37151.62,64,65121.7,-908.69,31421.86,0,4684.77,36106.63
"Containers","manual","fixed_amount",,-7473,71,37768.98,0,30435.62,0,3947.38,34383
"Black Friday 2025 (30% above R5000)","automatic","percentage","product",-13403.1,6,38849.35,0,27194.7,0,4079.2,31273.9
"Happy Hour Discount-2025-11-15T22:00:00Z","automatic","percentage","order",-3479.85,2,20172.97,0,17147.09,0,2572.06,19719.15
"Happy Hour Discount-2025-11-24T22:00:00Z","automatic","percentage","order",-1797,3,10417.35,0,8854.79,0,1328.21,10183
"3HYERMVY","discount_code","percentage","order",-965,1,8391.24,0,7552.17,0,1132.83,8685
"10% wheel of fortune","manual","percentage",,-919.2,9,8961.49,0,7497.56,0,775.24,8272.8
"SA1SW5MO","discount_code","fixed_amount","order",-200,1,6918.24,0,6744.35,0,1011.65,7756
"Happy Hour","discount_code","percentage","product",-1908,20,8399.91,0,6687.98,0,907.22,7595.2
"OL0USYBY","discount_code","percentage","order",-900,1,7826.01,0,6260.87,0,939.13,7200
"F2KH9GHQ","discount_code","percentage","order",-900,1,7826.01,0,6260.87,0,939.13,7200
"YCNZY7WX","discount_code","fixed_amount","order",-500,1,6547.79,0,6113.04,0,916.96,7030
"GIXVBKBF","discount_code","fixed_amount","order",-1000,1,6334.74,0,5465.22,0,819.78,6285
"AQ8XYAZJ","discount_code","fixed_amount","order",-100,1,5481.7,0,5394.78,0,809.22,6204
