"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"D1KVTWTE","discount_code","fixed_amount","order",-200,1,726.07,0,552.17,0,82.83,635
"RXDMCQ8R","discount_code","fixed_amount","order",-100,1,630.43,0,543.48,0,81.52,625
"BEPJRHJC","discount_code","fixed_amount","order",-1,1,620,0,619,0,0,619
"ZFPWABGO","discount_code","fixed_amount","order",-144,1,660.86,0,535.65,0,80.35,616
"HTRJZXQB","discount_code","fixed_amount","order",-200,1,815,0,615,0,0,615
"Promotion on joint wanted out yet and we told member about the special already","manual","fixed_amount",,-50,1,565.2,0,521.74,0,78.26,600
"OULJYLT1","discount_code","fixed_amount","order",-1,1,521.73,0,520.87,0,78.13,599
"Z3BOAITK","discount_code","fixed_amount","order",-100,1,599.11,0,512.17,0,76.83,589
"1VNZPC51","discount_code","fixed_amount","order",-64,1,565.21,0,509.57,0,76.43,586
"R1XYI4RL","discount_code","percentage","order",-65,1,565.22,0,508.7,0,76.3,585
"M7MBFK0Q","discount_code","fixed_amount","order",-100,1,595.65,0,508.7,0,76.3,585
"FRLXII7B","discount_code","fixed_amount","order",-500,1,930.42,0,495.65,0,74.35,570
"XQ1GWVAN","discount_code","fixed_amount","order",-217,1,678.26,0,489.57,0,73.43,563
"ID9Y8XDC","discount_code","fixed_amount","order",-200,1,660.86,0,486.96,0,73.04,560
"SO8O64OT","discount_code","fixed_amount","order",-36,1,537.82,0,505.01,0,48.99,554
"GGFHOT0J","discount_code","fixed_amount","order",-200,1,647.81,0,473.91,0,71.09,545
"LWVM9O51","discount_code","fixed_amount","order",-100,1,560.86,0,473.91,0,71.09,545
"TQGWN7QK","discount_code","fixed_amount","order",-100,1,560.86,0,473.91,0,71.09,545
"Happy Hour Discount-2026-02-02T22:00:00Z","automatic","percentage","order",-108.75,3,556.51,0,473.04,0,58.21,531.25
"Happy Hour Discount-2026-01-21T22:00:00Z","automatic","percentage","order",-90,1,521.74,0,443.48,0,66.52,510
"Happy Hour Discount-2026-01-10T22:00:00Z","automatic","percentage","order",-90,1,521.74,0,443.48,0,66.52,510
"WEBVVAU7","discount_code","fixed_amount","order",-100,1,527.82,0,440.87,0,66.13,507
"DWU8MDNQ","discount_code","fixed_amount","order",-200,1,613.02,0,439.13,0,65.87,505
"WCUP22LV","discount_code","fixed_amount","order",-100,1,521.72,0,434.78,0,65.22,500
"FEICZUCI","discount_code","fixed_amount","order",-100,1,514.76,0,427.83,0,64.17,492
"2SNM1BHO","discount_code","fixed_amount","order",-80,1,495.65,0,426.09,0,63.91,490
"GPMDY21N","discount_code","fixed_amount","order",-93,1,495.64,0,414.78,0,62.22,477
